mitre_id,name,tactic,description,url
T1069.001,Local Groups,Discovery,Adversaries may attempt to find local system groups and permission settings. The knowledge of local system permission groups can help adversaries determine which groups exist and which users belong to a particular gro...,https://attack.mitre.org/techniques/T1069/001
T1593,Search Open Websites/Domains,Reconnaissance,"Adversaries may search freely available websites and/or domains for information about victims that can be used during targeting. Information about victims may be available in various online sites, such as social media...",https://attack.mitre.org/techniques/T1593
T1098,Account Manipulation,Persistence|Privilege Escalation,"Adversaries may manipulate accounts to maintain and/or elevate access to victim systems. Account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as mod...",https://attack.mitre.org/techniques/T1098
T1048,Exfiltration Over Alternative Protocol,Exfiltration,Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and contr...,https://attack.mitre.org/techniques/T1048
T1547.006,Kernel Modules and Extensions,Persistence|Privilege Escalation,Adversaries may modify the kernel to automatically execute programs on system boot. Loadable Kernel Modules (LKMs) are pieces of code that can be loaded and unloaded into the kernel upon demand. They extend the functi...,https://attack.mitre.org/techniques/T1547/006
T1678,Delay Execution,Stealth,"Adversaries may employ various time-based methods to evade detection and analysis. These techniques often exploit system clocks, delays, or timing mechanisms to obscure malicious activity, blend in with benign activit...",https://attack.mitre.org/techniques/T1678
T1056.002,GUI Input Capture,Collection|Credential Access,Adversaries may mimic common operating system GUI components to prompt users for credentials with a seemingly legitimate prompt. When programs are executed that need additional privileges than are present in the curre...,https://attack.mitre.org/techniques/T1056/002
T1686.002,Network Device Firewall,Defense Impairment,"Adversaries may disable network device-based firewall mechanisms entirely or add, delete, or modify particular rules in order to bypass controls limiting network usage.",https://attack.mitre.org/techniques/T1686/002
T1588.002,Tool,Resource Development,"Adversaries may buy, steal, or download software tools that can be used during targeting. Tools can be open or closed source, free or commercial. A tool can be used for malicious purposes by an adversary, but (unlike ...",https://attack.mitre.org/techniques/T1588/002
T1052.001,Exfiltration over USB,Exfiltration,"Adversaries may attempt to exfiltrate data over a USB connected physical device. In certain circumstances, such as an air-gapped network compromise, exfiltration could occur via a USB device introduced by a user. The ...",https://attack.mitre.org/techniques/T1052/001
T1574.013,KernelCallbackTable,Stealth|Execution,Adversaries may abuse the <code>KernelCallbackTable</code> of a process to hijack its execution flow in order to run their own payloads.(Citation: Lazarus APT January 2022)(Citation: FinFisher exposed ) The <code>Kern...,https://attack.mitre.org/techniques/T1574/013
T1597,Search Closed Sources,Reconnaissance,"Adversaries may search and gather information about victims from closed (e.g., paid, private, or otherwise not freely available) sources that can be used during targeting. Information about victims may be available fo...",https://attack.mitre.org/techniques/T1597
T1053.006,Systemd Timers,Execution|Persistence|Privilege Escalation,Adversaries may abuse systemd timers to perform task scheduling for initial or recurring execution of malicious code. Systemd timers are unit files with file extension <code>.timer</code> that control services. Timers...,https://attack.mitre.org/techniques/T1053/006
